id,hashtag,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link
1,#ukraine,APAltruism,Need for Citizen Connectivity - Here's What You Can Do to Help People in #Ukraine Right Now: via @Jas_Aguilera,0,0,0,0,2023-01-01 23:59:00,110,19,,https://nitter.poast.org/APAltruism/status/1609700878612860928#m
2,#ukraine,FuckPutinBot,"Özünüzü siklə, Putin! (Azerbaijani) #Ukraine #RussiaWarCrimes #RussianWarCrimes #PutinWarCrimes",0,0,0,0,2023-01-01 23:59:00,95,8,,https://nitter.poast.org/FuckPutinBot/status/1609700761616670722#m
3,#ukraine,ArmedMaidan,"""The battle for Kyiv revisited: the litany of mistakes tha Russia a quick win"" #StandWithUkraine #Ukraine #UkraineRussianWar",0,0,0,0,2023-01-01 23:59:00,124,17,,https://nitter.poast.org/ArmedMaidan/status/1609700749818138624#m
4,#ukraine,naalsio26,"9.35 East #Ukraine 31 December 2022 With symbols [A] and [B]: 1V13-1 battery fire control centre № 710, captured by Ukraine. h/t @MrBavovna",0,0,0,0,2023-01-01 23:58:00,139,23,,https://nitter.poast.org/naalsio26/status/1609700726904692737#m
5,#ukraine,tenditno,"It has been reported that the fragments of the Shahed UAV fell on the roadway in Desnianskyi district of #Kyiv. Many windows in residential buildings are damaged. A 19-year-old boy was wounded and hospitalized. #Ukraine is under Russia’s attack. 1:56 am, January 2, 2023",0,0,0,0,2023-01-01 23:57:00,270,44,,https://nitter.poast.org/tenditno/status/1609700378945421313#m
