id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link
1,Tomasz5ek,"Ernest Bejda z CBA, towarzysz Kamińskiego, broni esbeków od Pegasusa, powiązanych z Rosją. Żona Bejdy przez lata pracowała dla węgierskiej firmy działającej także w Rosji. Więcej o Bejdzie i ruskich związkach - tutaj: piped.video/watch?v=rokxKsl-… Zapraszam serdecznie i dziękuję za RT!",5,198,3,206,09-06-25,286,40,,https://nitter.net/Tomasz5ek/status/1931998407121408184#m
2,Tomasz5ek,"Raport, którego dotąd brakowało. Raport o związkach @NawrockiKn z Rosją. Podawajmy dalej. Wysyłajmy wszystkim, którzy wciąż się łudzą. Tekst w wolnym dostępie: goniec.pl/jest-gotow-usiasc-… Dziękuję za każdy RT!",118,2662,111,2891,29-05-25,211,27,,https://nitter.net/Tomasz5ek/status/1928136521015599152#m
3,Bernard192240,Rosja już tu jest. Można się załamać... Prokuratura Policja Czy tu są jeszcze choć namiastki państwa prawa czy to juz koniec❓️❗️,0,0,0,0,09-06-25,128,21,,https://nitter.net/Bernard192240/status/1932022347285791040#m
4,StefanMPGA,Oj Szczerba. Gdybyś miał mózg to nie insynuowalbys korelacji Nawrockiego z Rosją. Wiesz jaki status ma PREZYDENT RZECZYPOSPOLITEJ w Rosji? Może @grok Ci to wyjaśni.,0,0,0,0,09-06-25,164,25,,https://nitter.net/StefanMPGA/status/1932022197255655532#m
5,ArtistGuy8,A to bydlaki Już myślę sobie ze Rosja i Białoruś w jednym to będzie piekło na ziemi,0,0,0,0,09-06-25,83,17,,https://nitter.net/ArtistGuy8/status/1932022044109017135#m
6,radio_republika,#PoranekRadiaRepublika | Budzisz: Czy Rosja zaatakuje wschodnią flankę NATO? ANALIZA ZAGROŻENIA. | @MBudzisz2 🎧 piped.video/watch?v=9wAB09… #RadioRepublika #Radio #Republika #TVRepublika #DomWolnegoSłowa #WłączPrawdę #NATO,0,4,1,5,09-06-25,222,22,,https://nitter.net/radio_republika/status/1932015130616688737#m
7,Adrian54877455,"Rosja to kraj rządzony przez służby, karmiony codziennie propagandą. Żeby tego raka wyleczyć to wszystko musiałoby pierdolnąć a i odbudowa mentalna narodu trwałaby z 5 pokoleń :) Reasumując - tam dla zwyczajnego obywatela nic się nie zmieni. Za to gdy masz kasę żyjesz tam dobrze",0,0,0,0,09-06-25,279,45,,https://nitter.net/Adrian54877455/status/1932021985971781959#m
8,prawy__prosty,"Wróci tuż po tym, jak Niemcy odświeżą kontrakty z Rosją.",0,0,0,0,09-06-25,56,10,,https://nitter.net/prawy__prosty/status/1932021838952952206#m
9,DOROTA78391689,"Jest wrażenie, że Prezydentem Polski jest zdrajca naszej Ojczyzny, który chce oddac naszą Ojczyznę cieciom kradnącym nasze głosy przy użyciu kremlowskiej aplikacji. Rosja już tu jest ... w Pałacu prezydenckim.😡😡😡",0,0,0,0,09-06-25,212,30,,https://nitter.net/DOROTA78391689/status/1932021830245601512#m
10,KrzysztofK99597,"Normalne zachowanie, na Zachodzie każdy by się cieszył i pochwalał, w lesie pod Rosją jak zawsze oburzenie.",0,0,0,0,09-06-25,107,17,,https://nitter.net/KrzysztofK99597/status/1932021821768909218#m
11,AwoOgon76380,"Bezsensem emocjonować się wypowiedziami głupców. Ponoć w 2025 r. Rosja chce zająć ukraińską linię brzegową Morza Czarnego i dojść do Naddniestrza. Wtedy Kijów usłyszy z Berlina: ""nie ma sensu dalsze wsparcie istnienia Ukrainy"" I co dalej Ukraino? Będzie apel: ""Polsko Ratuj""?",0,1,0,1,09-06-25,275,41,,https://nitter.net/AwoOgon76380/status/1932015905413660858#m
